年度	醫事機構代碼	醫事機構名稱	特約類別	分母病人入院日起6個月內期間接受心臟復健人次數_含跨院住院及門診	18歲以上因急性心肌梗塞AMI入院治療的出院人次數	急性心肌梗塞病人接受心臟復健之比率	申報醫師數	病患平均年齡	病患重大傷病人數	病患重大傷病比率	縣市別	鄉鎮別
2022年上半年度	101090517	臺北市立聯合醫院	區域醫院	0	15	0	8	57.8	2	0.1333	63000	63000060
2022年全年度	101090517	臺北市立聯合醫院	區域醫院	0	28	0	12	63.1429	3	0.1071	63000	63000060
2022年下半年度	101090517	臺北市立聯合醫院	區域醫院	0	13	0	9	69.3077	1	0.0769	63000	63000060
2023年上半年度	101090517	臺北市立聯合醫院	區域醫院	3	21	0.1429	10	68.3333	4	0.1905	63000	63000060
2022年全年度	102020011	高雄市立聯合醫院	區域醫院	0	5	0	2	62.5	0	0	64000	64000020
2022年全年度	102020011	高雄市立聯合醫院	區域醫院	0	5	0	2	62.5	0	0	64000	64000020
2022年下半年度	102020011	高雄市立聯合醫院	區域醫院	0	5	0	2	62.5	0	0	64000	64000020
2022年下半年度	102020011	高雄市立聯合醫院	區域醫院	0	5	0	2	62.5	0	0	64000	64000020
2023年上半年度	102020011	高雄市立聯合醫院	區域醫院	0	2	0	2	63.5	1	0.5	64000	64000020
2023年上半年度	102020011	高雄市立聯合醫院	區域醫院	0	2	0	2	63.5	1	0.5	64000	64000020
2022年上半年度	102070020	高雄市立大同醫院（委託財團法人私立高雄醫學大學經營)	區域醫院	0	3	0	2	77.3333	1	0.3333	64000	64000070
2022年上半年度	102070020	高雄市立大同醫院（委託財團法人私立高雄醫學大學經營)	區域醫院	0	3	0	2	77.3333	1	0.3333	64000	64000070
2022年全年度	102070020	高雄市立大同醫院（委託財團法人私立高雄醫學大學經營)	區域醫院	0	8	0	6	63.5	1	0.125	64000	64000070
2022年全年度	102070020	高雄市立大同醫院（委託財團法人私立高雄醫學大學經營)	區域醫院	0	8	0	6	63.5	1	0.125	64000	64000070
2022年下半年度	102070020	高雄市立大同醫院（委託財團法人私立高雄醫學大學經營)	區域醫院	0	5	0	5	55.2	0	0	64000	64000070
2022年下半年度	102070020	高雄市立大同醫院（委託財團法人私立高雄醫學大學經營)	區域醫院	0	5	0	5	55.2	0	0	64000	64000070
2023年上半年度	102070020	高雄市立大同醫院（委託財團法人私立高雄醫學大學經營)	區域醫院	1	13	0.0769	6	57	1	0.0769	64000	64000070
2023年上半年度	102070020	高雄市立大同醫院（委託財團法人私立高雄醫學大學經營)	區域醫院	1	13	0.0769	6	57	1	0.0769	64000	64000070
2022年上半年度	102080017	高雄市立民生醫院	地區醫院	0	5	0	1	64.8	1	0.2	64000	64000080
2022年上半年度	102080017	高雄市立民生醫院	地區醫院	0	5	0	1	64.8	1	0.2	64000	64000080
2022年全年度	102080017	高雄市立民生醫院	地區醫院	1	8	0.125	1	60.25	2	0.25	64000	64000080
2022年全年度	102080017	高雄市立民生醫院	地區醫院	1	8	0.125	1	60.25	2	0.25	64000	64000080
2022年下半年度	102080017	高雄市立民生醫院	地區醫院	1	3	0.3333	1	52.6667	1	0.3333	64000	64000080
2022年下半年度	102080017	高雄市立民生醫院	地區醫院	1	3	0.3333	1	52.6667	1	0.3333	64000	64000080
2023年上半年度	102080017	高雄市立民生醫院	地區醫院	1	8	0.125	3	67.125	3	0.375	64000	64000080
2023年上半年度	102080017	高雄市立民生醫院	地區醫院	1	8	0.125	3	67.125	3	0.375	64000	64000080
2022年上半年度	111070010	衛生福利部基隆醫院	區域醫院	0	16	0	3	61.5	2	0.125	10017	10017070
2022年全年度	111070010	衛生福利部基隆醫院	區域醫院	1	30	0.0333	3	60	4	0.1333	10017	10017070
2022年下半年度	111070010	衛生福利部基隆醫院	區域醫院	1	14	0.0714	3	58.2857	2	0.1429	10017	10017070
2023年上半年度	111070010	衛生福利部基隆醫院	區域醫院	3	12	0.25	3	64.5	2	0.1667	10017	10017070
2022年上半年度	117030010	衛生福利部臺中醫院	區域醫院	0	5	0	2	67.6	1	0.2	66000	10019040
2022年上半年度	117030010	衛生福利部臺中醫院	區域醫院	0	5	0	2	67.6	1	0.2	66000	10019040
2022年全年度	117030010	衛生福利部臺中醫院	區域醫院	0	17	0	2	64.25	4	0.25	66000	10019040
2022年全年度	117030010	衛生福利部臺中醫院	區域醫院	0	17	0	2	64.25	4	0.25	66000	10019040
2022年下半年度	117030010	衛生福利部臺中醫院	區域醫院	0	12	0	2	62.7273	3	0.2727	66000	10019040
2022年下半年度	117030010	衛生福利部臺中醫院	區域醫院	0	12	0	2	62.7273	3	0.2727	66000	10019040
2023年上半年度	117030010	衛生福利部臺中醫院	區域醫院	0	8	0	2	61.75	0	0	66000	10019040
2023年上半年度	117030010	衛生福利部臺中醫院	區域醫院	0	8	0	2	61.75	0	0	66000	10019040
2022年上半年度	122020517	衛生福利部嘉義醫院	地區醫院	0	1	0	1	40	0	0	10020	10020020
2022年全年度	122020517	衛生福利部嘉義醫院	地區醫院	1	6	0.1667	2	69.4	1	0.2	10020	10020020
2022年下半年度	122020517	衛生福利部嘉義醫院	地區醫院	1	5	0.2	2	76.75	1	0.25	10020	10020020
2023年上半年度	122020517	衛生福利部嘉義醫院	地區醫院	0	1	0	1	59	0	0	10020	10020020
2022年上半年度	131020016	新北市立聯合醫院	區域醫院	0	5	0	3	55.2	0	0	65000	65000020
2022年全年度	131020016	新北市立聯合醫院	區域醫院	2	30	0.0667	6	55.2667	2	0.0667	65000	65000020
2022年下半年度	131020016	新北市立聯合醫院	區域醫院	2	25	0.08	6	55.28	2	0.08	65000	65000020
2023年上半年度	131020016	新北市立聯合醫院	區域醫院	2	18	0.1111	4	62.6667	0	0	65000	65000020
2022年上半年度	131060029	衛生福利部臺北醫院	區域醫院	1	9	0.1111	3	56.8889	1	0.1111	65000	65000050
2022年全年度	131060029	衛生福利部臺北醫院	區域醫院	6	24	0.25	4	56.0417	2	0.0833	65000	65000050
2022年下半年度	131060029	衛生福利部臺北醫院	區域醫院	5	15	0.3333	4	55.5333	1	0.0667	65000	65000050
2023年上半年度	131060029	衛生福利部臺北醫院	區域醫院	18	26	0.6923	6	63.6923	2	0.0769	65000	65000050
2022年上半年度	132010014	衛生福利部桃園醫院	區域醫院	27	36	0.75	9	61.9714	5	0.1429	68000	68000010
2022年全年度	132010014	衛生福利部桃園醫院	區域醫院	64	83	0.7711	11	62.642	14	0.1728	68000	68000010
2022年下半年度	132010014	衛生福利部桃園醫院	區域醫院	37	47	0.7872	8	62.9787	10	0.2128	68000	68000010
2023年上半年度	132010014	衛生福利部桃園醫院	區域醫院	27	34	0.7941	7	59.6176	1	0.0294	68000	68000010
2022年上半年度	135010016	衛生福利部苗栗醫院	區域醫院	0	19	0	2	69.0526	0	0	10005	10005010
2022年全年度	135010016	衛生福利部苗栗醫院	區域醫院	7	31	0.2258	2	66.8065	2	0.0645	10005	10005010
2022年下半年度	135010016	衛生福利部苗栗醫院	區域醫院	7	12	0.5833	2	63.25	2	0.1667	10005	10005010
2023年上半年度	135010016	衛生福利部苗栗醫院	區域醫院	2	12	0.1667	3	68.25	1	0.0833	10005	10005010
2022年上半年度	136010010	衛生福利部豐原醫院	區域醫院	3	25	0.12	4	64.36	3	0.12	66000	66000090
2022年上半年度	136010010	衛生福利部豐原醫院	區域醫院	3	25	0.12	4	64.36	3	0.12	66000	66000090
2022年全年度	136010010	衛生福利部豐原醫院	區域醫院	3	54	0.0556	5	62.037	4	0.0741	66000	66000090
2022年全年度	136010010	衛生福利部豐原醫院	區域醫院	3	54	0.0556	5	62.037	4	0.0741	66000	66000090
2022年下半年度	136010010	衛生福利部豐原醫院	區域醫院	0	29	0	4	60.0345	1	0.0345	66000	66000090
2022年下半年度	136010010	衛生福利部豐原醫院	區域醫院	0	29	0	4	60.0345	1	0.0345	66000	66000090
2023年上半年度	136010010	衛生福利部豐原醫院	區域醫院	4	19	0.2105	4	60.4737	1	0.0526	66000	66000090
2023年上半年度	136010010	衛生福利部豐原醫院	區域醫院	4	19	0.2105	4	60.4737	1	0.0526	66000	66000090
2022年上半年度	137170515	衛生福利部彰化醫院	區域醫院	6	10	0.6	3	57.4	1	0.1	10007	10007150
2022年全年度	137170515	衛生福利部彰化醫院	區域醫院	9	16	0.5625	3	55.375	2	0.125	10007	10007150
2022年下半年度	137170515	衛生福利部彰化醫院	區域醫院	3	6	0.5	3	52	1	0.1667	10007	10007150
2023年上半年度	137170515	衛生福利部彰化醫院	區域醫院	2	3	0.6667	2	70.3333	0	0	10007	10007150
2022年上半年度	138010027	衛生福利部南投醫院	區域醫院	0	1	0	1	39	0	0	10008	10008010
2022年全年度	138010027	衛生福利部南投醫院	區域醫院	1	6	0.1667	3	58.3333	0	0	10008	10008010
2022年下半年度	138010027	衛生福利部南投醫院	區域醫院	1	5	0.2	3	62.2	0	0	10008	10008010
2023年上半年度	138010027	衛生福利部南投醫院	區域醫院	2	6	0.3333	5	64.6667	3	0.5	10008	10008010
2022年上半年度	142030019	衛生福利部旗山醫院	地區醫院	0	5	0	1	73.2	2	0.4	64000	64000300
2022年上半年度	142030019	衛生福利部旗山醫院	地區醫院	0	5	0	1	73.2	2	0.4	64000	64000300
2022年全年度	142030019	衛生福利部旗山醫院	地區醫院	0	13	0	2	61.3077	2	0.1538	64000	64000300
2022年全年度	142030019	衛生福利部旗山醫院	地區醫院	0	13	0	2	61.3077	2	0.1538	64000	64000300
2022年下半年度	142030019	衛生福利部旗山醫院	地區醫院	0	8	0	2	53.875	0	0	64000	64000300
2022年下半年度	142030019	衛生福利部旗山醫院	地區醫院	0	8	0	2	53.875	0	0	64000	64000300
2023年上半年度	142030019	衛生福利部旗山醫院	地區醫院	0	4	0	2	71.75	0	0	64000	64000300
2023年上半年度	142030019	衛生福利部旗山醫院	地區醫院	0	4	0	2	71.75	0	0	64000	64000300
2022年上半年度	143010011	衛生福利部屏東醫院	區域醫院	0	4	0	2	71.75	2	0.5	10013	10013010
2022年全年度	143010011	衛生福利部屏東醫院	區域醫院	0	5	0	3	71	2	0.4	10013	10013010
2022年下半年度	143010011	衛生福利部屏東醫院	區域醫院	0	1	0	1	68	0	0	10013	10013010
2023年上半年度	143010011	衛生福利部屏東醫院	區域醫院	0	5	0	2	57.6	0	0	10013	10013010
2022年上半年度	144010015	衛生福利部澎湖醫院	地區醫院	0	5	0	1	66.6	1	0.2	10016	10016010
2022年全年度	144010015	衛生福利部澎湖醫院	地區醫院	3	18	0.1667	3	64.1111	4	0.2222	10016	10016010
2022年下半年度	144010015	衛生福利部澎湖醫院	地區醫院	3	13	0.2308	3	63.1538	3	0.2308	10016	10016010
2023年上半年度	144010015	衛生福利部澎湖醫院	地區醫院	0	9	0	1	62.2222	0	0	10016	10016010
2022年上半年度	190030516	衛生福利部金門醫院	地區醫院	0	11	0	3	70.1818	2	0.1818	9020	9020030
2022年全年度	190030516	衛生福利部金門醫院	地區醫院	0	16	0	4	65.8125	2	0.125	9020	9020030
2022年下半年度	190030516	衛生福利部金門醫院	地區醫院	0	5	0	2	56.2	0	0	9020	9020030
2023年上半年度	190030516	衛生福利部金門醫院	地區醫院	0	12	0	6	63.0833	1	0.0833	9020	9020030
2022年上半年度	401180014	國立臺灣大學醫學院附設醫院	醫學中心	48	65	0.7385	15	64.1846	10	0.1538	63000	63000050
2022年全年度	401180014	國立臺灣大學醫學院附設醫院	醫學中心	89	122	0.7295	22	62.7131	20	0.1639	63000	63000050
2022年下半年度	401180014	國立臺灣大學醫學院附設醫院	醫學中心	41	57	0.7193	20	61.0351	10	0.1754	63000	63000050
2023年上半年度	401180014	國立臺灣大學醫學院附設醫院	醫學中心	43	54	0.7963	17	61.4151	9	0.1698	63000	63000050
2022年上半年度	412040012	國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院	醫學中心	15	31	0.4839	12	58.1613	4	0.129	10018	10018020
2022年全年度	412040012	國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院	醫學中心	37	63	0.5873	19	59.0476	5	0.0794	10018	10018020
2022年下半年度	412040012	國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院	醫學中心	22	32	0.6875	17	59.9063	1	0.0313	10018	10018020
2023年上半年度	412040012	國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院	醫學中心	31	45	0.6889	14	58	2	0.0444	10018	10018020
2022年上半年度	421040011	國立成功大學醫學院附設醫院	醫學中心	27	56	0.4821	14	61.0943	7	0.1321	10021	10021040
2022年上半年度	421040011	國立成功大學醫學院附設醫院	醫學中心	27	56	0.4821	14	61.0943	7	0.1321	10021	10021040
2022年全年度	421040011	國立成功大學醫學院附設醫院	醫學中心	58	98	0.5918	17	60.117	12	0.1277	10021	10021040
2022年全年度	421040011	國立成功大學醫學院附設醫院	醫學中心	58	98	0.5918	17	60.117	12	0.1277	10021	10021040
2022年下半年度	421040011	國立成功大學醫學院附設醫院	醫學中心	31	42	0.7381	14	58.8537	5	0.122	10021	10021040
