field1,"item value2","item value3","item value4","item value5","item value6","item value7","item value8","item value9","item value10","item value11","item value12","item value13","item value14","item value15","item value16","item value17","item value18","item value19"
2006,562.299987793,311.359588623,166.5267028809,91.6864242554,52.3020324707,27.9603481293,55.2254180908,33.4134178162,27.5329818726,27.4257335663,19.4538059235,8.714220047,16.9556388855,12.9376754761,28.4897251129,12.3495998383,33.8049736023,10.7457551956
2007,579.7442626953,340.9405517578,175.2702941895,102.1974868774,59.4799156189,33.8188476563,56.9971847534,35.036113739,38.5087547302,34.5597915649,20.9183368683,10.8495512009,16.4282894135,14.8718242645,21.9219932556,12.9136123657,28.2080593109,10.0556821823
2008,583.31628344,349.16442461,171.96787275,101.01052416,66.25851839,39.90151343,44.749418992,27.595928579,29.955355503,27.438836007,29.745510631,16.861269455,11.54146797,10.839387507,24.919078571,12.096128087,28.591363834,9.2684617809
2009,579.35967373,343.81707297,172.88100996,98.588136164,59.831409772,35.173102094,42.335018402,24.776346916,31.76428195,29.483335579,31.660136763,17.224474996,14.528253548,9.9829539768,22.911941079,11.741609081,29.212724875,10.241579727
2010,593.54293622,350.37814328,178.03699587,104.25361932,60.260268448,31.885127558,40.89829216,25.385270095,31.113764035,28.200168996,33.495183579,17.96417299,13.304887449,12.283195207,22.830565623,11.617855467,26.713314879,9.3659363454
2011,625.47,378.94,188.52,109.74,67.86,38.14,43.14,27.68,33.13,31.59,28.8,19.04,15.02,13.2,19.25,9.8,27.2,10.56
2012,640.89,388.78,193.8,115.99,73.07,38.19,43.74,30.94,33.5,29.73,33.91,20.56,12.97,13.5,19.09,10.18,29.18,10.83
2013,650.3,392.09,200.48,121.42,80.89,44.88,44.55,28.67,34.23,30.57,34.49,18.21,15.14,15.21,18.53,9.66,25,9.61
2014,679.942765,420.20444,204.367268,123.484184,89.497178,53.433527,45.876274,30.05014,32.492833,32.637238,40.032816,23.184379,16.915274,14.676807,14.138296,9.005092,27.320731,11.492686
2015,685.2512391452,431.9387819852,207.9888416728,130.6772213145,91.2096915934,59.3897234957,43.6576726054,31.4299538366,32.4870474552,28.3067880768,42.8890516088,25.1340482574,15.9,15.22,19.522973313,10.3114044133,28.8489080714,9.7165156971
2016,726.1835962636,445.6575574446,213.4899848759,127.6767381188,99.1368180309,59.3155577788,47.1860513729,29.2623418375,33.4554739918,31.0912382024,51.5921321742,29.8060677838,17.368155717,15.7186228114,21.0569675508,10.0342151909,28.2808907251,10.9733781891
2017,717.047584861,472.7893661307,211.9957867118,138.8122,99.6994678086,68.9135,46.8029345542,30.6391,32.413848548,28.6195,56.3785896545,35.4665,17.0006283064,18.1273,19.6633773182,12.4133,27.4467975066,11.2803
2018,731.2520708787,475.2038577913,217.7381,136.032,113.2954,72.2133,45.0827,28.9638,30.0381,26.8038,67.2915,44.3294,20.4,17.8,20.3665,11.7819,26.8142,11.0946
2019,754.9584982083,494.6057985926,226.3038115911,147.2244,107.3335398683,69.8278,44.4033189184,30.6168,33.1748934448,27.5893,79.0583229938,49.9049,17.2509445913,16.6512,20.7725871262,10.9868,27.7137956008,10.1567
2020,733.1613603516,491.592629462,219.2261317549,147.5117889217,110.8846791707,75.9173283123,44.9133815173,30.2115023738,34.5370170445,31.7172203378,67.3955045418,41.1401004994,17.5991279785,15.2514658286,20.8035934774,10.9771696728,26.347827436,10.2000249172
2021,807.0424271695,547.8712735892,234.2516937141,157.14589601,116.769221834,74.3914668612,48.4500567034,32.2363023065,44.068663563,38.2654146534,59.4544859862,38.6057677698,19.1558583811,18.2818245358,18.6973404944,10.7940559759,26.8997160246,10.6968122284
2022,922.7947043038,621.7926998268,243.018656446,159.2413787552,130.5764239631,84.9872799606,49.4848275984,32.5410538081,46.0014235853,40.6397268698,60.2423988154,33.5655847376,22.7958056742,19.1245773505,19.2099486019,12.4407327152,25.0497729768,11.4649889729
